0,1,17.841260,25.097895,-4.404944
1,6,-13.697892,-30.337886,16.949966
2,7,-3.973431,-8.461652,2.938109
3,9,-3.687871,-8.808491,2.213109
4,10,-1.319098,8.356012,-2.336018
5,14,4.866819,4.695010,-5.632102
6,15,0.208897,6.688170,-5.683927
7,16,0.024784,0.977987,-0.477225
8,4,-20.845589,-30.305790,5.644846
9,5,6.806827,29.902671,-4.711512
10,8,-3.635730,-8.650212,2.682482
11,13,7.067569,4.619908,-2.154512
12,20,-0.393957,0.327697,0.219429
13,21,0.710197,0.671016,-0.439792
14,2,-8.663476,-35.850871,5.862446
15,3,11.249384,25.053648,-14.459486
16,17,0.453853,-0.048457,0.227096
17,18,-0.038782,-0.060278,-0.554785
18,11,1.423021,8.455638,1.926188
19,12,5.161914,6.716295,2.043940
