"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
29,"__amd_rocclr_fillBuffer.kd",0,0,54,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051851525,429238051864168,429238051867368,429238051873837,3200
30,"__amd_rocclr_fillBuffer.kd",0,0,56,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051885489,429238051895482,429238051898682,429238051902431,3200
31,"__amd_rocclr_fillBuffer.kd",0,0,58,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051915135,429238051925097,429238051928137,429238051931877,3040
32,"__amd_rocclr_fillBuffer.kd",0,0,60,49476,49503,7936,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051944551,429238051954704,429238051958384,429238051962134,3680
33,"__amd_rocclr_fillBuffer.kd",0,0,61,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051949660,429238051962189,429238051965069,429238051969929,2880
34,"__amd_rocclr_fillBuffer.kd",0,0,63,49476,49503,7936,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051983324,429238051993828,429238051997508,429238052001258,3680
35,"__amd_rocclr_fillBuffer.kd",0,0,64,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238051988494,429238052001554,429238052004754,429238052009604,3200
36,"__amd_rocclr_fillBuffer.kd",0,0,66,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052023370,429238052033723,429238052036763,429238052040512,3040
37,"__amd_rocclr_fillBuffer.kd",0,0,68,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052052655,429238052063068,429238052066268,429238052070008,3200
38,"__amd_rocclr_fillBuffer.kd",0,0,70,49476,49503,256,256,0,0,8,32,6528,0x0,0x7efcbf684140,429238052083243,429238052093536,429238052096736,429238052100566,3200
